Optimal_X,Optimal_Y,History_X,History_Y
17.9738275,157.9483693,17.45862883,157.5162232
17.94370707,158.7132912,17.60387157,158.3435711
17.95619364,159.6162902,17.74860585,159.1710081
18.03280556,160.4154516,17.89209229,159.9986624
18.13180611,161.2126505,18.03439179,160.8265216
18.25741429,162.1057751,18.17564898,161.6545593
18.38339316,162.8962913,18.31516473,162.4828922
18.53204148,163.7835089,18.49988218,163.3023307
18.66416695,164.5724522,18.62870281,164.1323941
18.80133891,165.4621871,18.70589293,164.96884
18.56339538,166.1754362,18.73954834,165.8081655
18.58308322,166.965267,18.73391742,166.6481466
18.52710498,167.8829187,18.69425253,167.4872096
18.4825815,168.7005627,18.63055325,168.3247909
18.36887485,169.6719444,18.55436146,169.1613283
18.247576,170.5508192,18.47195927,169.9972768
18.18567898,171.371728,18.38051196,170.8322842
18.15764344,172.2822208,18.29530444,171.6679514
18.10594986,173.1403013,18.22128205,172.5046835
17.96442132,173.8931371,18.14688134,173.3413821
18.05273179,174.5764727,18.08485286,174.1790888
18.05664124,175.4674313,18.03611758,175.0176738
17.88534642,176.245873,18.02632721,175.8576168
17.98125646,176.9871954,18.07760741,176.69605
17.98591524,177.7934019,18.18344543,177.5293557
18.31757838,178.5960701,18.3361529,178.3553584
18.76977737,179.4950518,18.5281953,179.1731112
19.00490079,180.2947102,18.7546776,179.9820029
19.27637639,181.1804361,19.00851495,180.7827317
19.56780834,182.0528185,19.27964146,181.5777728
19.88555572,182.8547636,19.55941344,182.369813
20.18881182,183.6663942,19.83912684,183.1618739
20.42615095,184.4415863,20.10985162,183.9570519
20.67001475,185.2702787,20.36607181,184.7570214
20.85877015,186.0508262,20.60298211,185.5629206
21.03305637,186.930877,20.81614941,186.3754227
21.17215286,187.7145803,20.99991059,187.1950762
21.28335684,188.5021126,21.15065871,188.0214387
21.36173135,189.2945691,21.26432023,188.8537134
21.40055213,190.190181,21.3346892,189.6907607
